GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster
PD_Nalls_no23ukbb	0.01	1	17	44192923	44192923	69.3001969653299	69.3001969653299	1
PD_Nalls_no23ukbb	0.01	2	17	44248042	44248042	69.3336417759131	69.3336417759131	1
PD_Nalls_no23ukbb	0.02	1	17	44192923	44192923	69.3001969653299	69.3001969653299	1
PD_Nalls_no23ukbb	0.02	2	17	44248042	44248042	69.3336417759131	69.3336417759131	1
PD_Nalls_no23ukbb	0.03	1	17	44192923	44192923	69.3001969653299	69.3001969653299	1
PD_Nalls_no23ukbb	0.03	2	17	44248042	44248042	69.3336417759131	69.3336417759131	1
PD_Nalls_no23ukbb	0.04	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.05	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.06	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.07	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.08	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.09	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.1	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.11	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.12	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.13	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.14	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.15	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.16	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.17	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.18	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.19	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.2	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.21	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.22	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.23	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.24	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.25	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.26	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.27	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.28	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.29	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.3	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.31	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.32	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.33	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.34	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.35	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.36	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.37	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.38	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.39	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.4	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.41	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.42	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.43	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.44	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.45	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.46	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.47	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.48	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.49	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.5	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.51	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.52	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.53	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.54	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.55	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.56	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.57	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.58	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.59	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.6	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.61	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.62	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.63	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.64	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.65	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.66	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
PD_Nalls_no23ukbb	0.67	1	17	44192923	44248042	69.3001969653299	69.3336417759131	2
